台湾/Taiwan,#genre#
東森電影_線路一,tvbus://4q2cQZittMNMbARCmd5cm6ZnhCs5F9YnpBDKLHbNcurjPr7ZB3
東森電影_線路二,tvbus://37bAGvBU3Bv75An5TdHEZiNFAMRAtRtDiurBhEKpJLkg3ViSn9
緯來電影_線路一,tvbus://4rX2o64c9wiRyeKnMcUzHB98neGEPHMTLMMGwR48Vww9LPzvNq
緯來電影_線路二,tvbus://4JYRuHdti7oqJGzqGM1RLzXWvonkZpur16j8ZbgjyEuDKcvq6J
龍祥電影,tvbus://3n31i7mSTLNoS1zvLBs9crk9jk3Y6gEJGkbPUZNBS9NZXT6K5H
HBO_HD,tvbus://4P6KPwUNgGX17bd9brtoDSZz8MTm42QXVjkz3WsiAsxSKLaLUW
東森洋片_線路一,tvbus://3XePuk9b8yk2UPW75pMgayMTSjWwySvFFeUbNcJMYaQrnSnsCm
東森洋片_線路二,tvbus://3zPtBBeeasfYUfPc2AiZqYYK3eKU3AcaMVLvVXaWRJMH6GqdAW
AXN,tvbus://4P9D6mKbnooM3X644W8i9V9z1xx7hbiQLHyhBBr1unZMpKP2eu
好萊塢電影,tvbus://3xkcKLTm51EX9fxBtXBzCrUTcytyj83jKeLRkwtu6BnmWboYKk
緯來育樂_線路一,tvbus://3egEwCjpmC7LY3dRRfceuSzUFxwj8K5gazJcTVGYnP9LyTTSeC
緯來育樂_線路二,tvbus://4oHMFq3zit8RRQAdRXzuSYXeujU1ZvZVYcmqsbcMifr7nBwYS1

Eleven_Sport1,tvbus://4HJa5XwDkrCtmAY5m3mjJyfVf1JA7he61PfieAxKLnnpXG2sYY
緯來日本_線路二,tvbus://4r8PnXoJKaToWZ5T1LQPqAiu2K7d7aEsJPbTvCMjMTucsUh8K1
國興衛視,tvbus://434j2QRt7fq6Jg79hHRvy3333KfTUgqq3bdF7KDCRS7BXPLfD7
Z頻道,tvbus://41b7w77U5xgMPKPXSx2qXgeUswwpQRh7dRxqkVGRCzdqgPTqRq

恐怖電影,tvbus://3QbG11cyXgvdJjjFmxVC5cFenz5aebL8UTQzBYL1jJvLYHdCpd
八大娛樂,tvbus://3WVVoB813mNtu9HdVFmodnuYNEbtnHcNUw5pf342aiQwShXX7B
MTV_Live,tvbus://4cEMaoAhGkDPhcNkg93rQGoQLQkzjNam6LA7NCQjTeKGspKvyD

龍華戲劇,tvbus://3igXPZzdpWbGj9VXnchzW9Bwzk9FHeyt2gcYjQ3pNeoMcHat1C
龍華偶像,tvbus://4PoSdU8iKKAoN74sFBCqBkNJef6LHkSyuw835a1B5NKdHbtHBU
龍華電影,tvbus://4KLNnYt1RRNsEYjwoPHoLTmZ58k46G6Eh81ocJyHujsyfi9qA6
東森亞洲呦呦,tvbus://3eWuSqM8v24M2ov1hsJKPdfKhbSqhfDyPW6W8jt4pNQq5xMmHm
龍華洋片,tvbus://41LDCHyLMcegWeL2ruEBsYqVZdqSPvkCJCQynBYNWFaDRp3UJy
公視二,tvbus://4MH4Ng2RXPj4e9Vi7S8jWb3G4F1FnVyf1zptri5uauYCpMZBMB
佛衛慈悲,tvbus://3v3YGa2nxWQvn1XM855Y6Vi8Bc45GBZ4ZLHEuv2SyzY5T2AyoS
EVEHD,tvbus://42GCTNJ7Sh2PD1K7QQBQ8uPksHU7YqhBxoKTAWWhM3MVNrVvXM
人間衛視,tvbus://3m9ck5nUhhZWCtoMXu1cjmhUkhhBoozYXyVYGCfofELXDbE95f
生命電視台,tvbus://3neWqUNnmiH8hyWWdFie1vGPnAqnu3yNM6LLHtp8v56CxTk29t
東森亞洲新聞_線路一,tvbus://4R6aBKiLENzjqSc9ALyNaHhJSMAcCAuHBVSyESmQo8YuNHQ2zu
東森亞洲新聞_線路二,tvbus://3LkqcBMmBLawG7zfQcQwQ2DeHPApQH2zn7px7eAPGKnMzraerT
HGTV,tvbus://4Kc1NLpLA7PimJcWH4YKASvy2ECZGmbuKMNT3WyGPevrHs9JVi
華藏衛視,tvbus://3i7VCdkpCWhkYoewxePz6tu8QrenqMiQhHd793g4sbohWmxQVK
Food Network,tvbus://386fB9e1vGt5DoVi7hfbRxqRfoU956gZRXXmqiGVXqeFHb1QUC
CN卡通國際HD EN,tvbus://45jf9py1Fe256nZk9NQqZWg9uT3Y9e4vsmBZVsDXywFrGbFfkc
Fight_Sport_HD,tvbus://3Q546ewM4k2WzLY8Z5q6C1GLSp5sPPC8BXqDy1WYgwrtc7BxeS
靖天歡樂,tvbus://4GhBMAQHgkidR65WKJSKKvJkm8gwGVrR9qBNv9E9gnQAwCgsoX
公視3,tvbus://3qm9JmFjjKaS4My4nq9PFgBbQgX3WCSwAmUB9eiAcNEWKQM3ZL
美亞電影國語,tvbus://4TesqgUN56gUCyTZYTtPxgBQk1k75qovL5WYd7qpPggvu1vWpJ
華納電影,tvbus://3VUHVGF1UMMhiePSMs4V7XNNVrwwjD7Zsi8JbvYcotGaDZ6KDp
美食星球頻道,tvbus://4Hhsdn4BEXYis67PtMKRD32UinGHxXpq1BMQwU85TYqMdCj3FS
幸福空間居家,tvbus://4Aj59RcokzUgpdR4Um9KkGH3JndXTD4Ttq6ARtQG9AwqabdmBV
大愛二,tvbus://3tT5oJY5AP9dtJfn793EyVsxSsqX5EtdJoyPByv236GFxHkySH
CNBC_Asia_Channel,tvbus://3axMyoCdMG4rezEVL4B3mfEWH5DKN8mVkfG2wvbsWddRmgRBaZ
BBC_Earth,tvbus://3nJxPYCZW3tWD3ydMGcupfAmsYqiDteRbptyjaBfRaXUHeBE5F
高點綜合,tvbus://3cVAnCNzijoMcUtabe1B9LZM94zScTqienTYJDdqTFqDuwv9dq
中天亞洲_線路一,tvbus://4ZMnnnxfhPARpSWQCZGhyyrdfD2xTwLTUwbdP8fjUwpzzySL7p
中天亞洲_線路二,tvbus://4XzuEHaCmGL9BkyTJF7bHNCvWxShvmyJJFU5N3b5PhKmmCHuND
探索科學,tvbus://4pPvvfnjfob85BsovbuCXSVhFxhLeCBacJ2b7sa9BaZABAVPeu
AXN亞洲HD,tvbus://3KH1aoMqceBXA9iEHXXvrFhd7w5hTDDTM1xzHdEWNMVJmVHnZT

靖天日本,tvbus://2zvP6SbtQDci3Zst5zYyZ7ZVnddoeqk9f3A8o5561LqzCyMV2k
民視第一,tvbus://4hGDESGsf8HG9BvYKeSQAsD7jgWkV2JQgxEKFuCjroaVVMg9Qc
民視台灣,tvbus://4npyntZR9Jb7ATGV44E4vr4Do6JWsJWAcsyDpahz1hn1Nj3MhM
靖天戲劇台,tvbus://3y5h8U2JEF8hg5k7LXzQt4J1psY86iargruJxK22pbwxC2eNDn
中視新聞_線路一,tvbus://3gU7UmRWmxrT7d3UzKidXsBvecNPjgHP55eXCm2PWR6xjzLXN5
中視新聞_線路二,tvbus://4JJUMGSuDg1KxFEgQonnnZ2BReedGwb3MaJcKpVLsjnZ6p9c3d
亞洲旅游,tvbus://3hxxkno7rxJovXABiA7tzy5RLSk35gBTPPDu7yvrjGUEXgPxwf
靖天卡通,tvbus://3SsLUPMrwY9hRVN5VkrWeu5eHkoAhxqc3ZTaQ3Ztsknh8ev4sE
台視財經,tvbus://4NR1HoNQ6p4UHx7Q8XE5Reo67pw9yhFKwnRoEW1gsUswrMp8dG
