Js=smart
Decoder=2

台灣,#genre#
BBC World News,http://?id=Bbcnews
Bloomberg News,http://?id=bloomberg_twn
Al-Jazeera,http://?id=aljazeera_twn

體育頻道,#genre#
Supersports 1,http://?id=Assp1
Supersports 1 backup,http://?id=go_assp1
Supersports 2,http://?id=Assp2
Supersports 2 backup,http://?id=go_assp2
Supersports 3,http://?id=Assp3
Supersports 3 backup,http://?id=go_assp3
Supersports 4,http://?id=Assp4_mega
Supersports 4 backup,http://?id=go_assp4
Supersports 5,http://?id=go_assp5
Beinsports HD,http://?id=Beinhd
True Premium 1,http://?id=truepre1_pat
True Premium 2,http://?id=truepre2_pat
Champion 5 EPL,http://?id=Champion5epl
Champion 6 EPL,http://?id=Champion6epl
WWE,http://?id=Wwe
Fight Sports,http://?id=Fs
UFC Network,http://?id=ufc_mega
NBA TV,http://?id=nbatv_twn
Eurosports 1 HD,http://?id=eurosport1_mega
Eurosport 2 HD,http://?id=eurosport2_mega
Astro Cricket,http://?id=Acricket_mega
Astro Golf,http://?id=Agolf
Sony Ten 1,http://?id=ten1_raj
Sony Ten 2,http://?id=ten2_raj
Sony Ten 3,http://?id=ten3_raj
Sony Six HD,http://?id=sonysix_raj
SPOTV 1 HD,http://?id=go_spotv
SPO TV 2,http://?id=go_spotv2
Beinsports 2 HD,http://?id=Bein2hd
Skysports Arena,http://?id=tiankongarena
Skysports F1,http://?id=tiankongf1
Skysports Cricket,http://?id=tiankongcricket
Skysports EPL,http://?id=tiankongepl
Skysports Football,http://?id=tiankongfootball
Skysports Golf,http://?id=tiankonggolf
Skysports Main Event,http://?id=tiankongmain
Skysports News,http://?id=tiankongnews
Skysports NFL,http://?id=tiankongnfl
Skysports Racing,http://?id=tiankongracing
Skysports Mix,http://?id=tiankongmix
CCTV-5 體育頻道,http://?id=cctv5
Arena,http://?id=Arena
CCTV-5+ 體育賽事 HD,http://?id=cctv5plus
愛爾達體育1台,http://?id=eltasport_twn
愛爾達體育2台,http://?id=eltasport2_twn
愛爾達體育3台,http://?id=eltasport3_twn
Arena 2,http://?id=Arena2
Beins 1 English,http://?id=bein1eng_mega
Bein3 English,http://?id=bein3eng_mega
Bein 4 Sports,http://?id=bein4_mega
Bein 5 Sports,http://?id=bein5_mega
Bein 1 Premium,http://?id=bein1pre_mega
Bein 2 Premium,http://?id=bein2pre_mega
Bein 3 Premium,http://?id=bein3pre_mega
RTM Sports HD,http://?id=Rtmsport
BolaArena 1,http://?id=Bolaarena1
Bein 1 Xtra,http://?id=bein1xtra_mega
Rugby Pass TV,http://?id=Rugbypasstv
Beinsports Rugby,http://?id=go_beinsrugby
Asian Games 1HD,http://?id=Asiangame1
Asian Games 2HD,http://?id=Asiangame2
Asian Games 3HD,http://?id=Asiangame3

兒童頻道,#genre#
Baby TV Eng,http://?id=Babytv
CBeebies,http://?id=Cbeebies
Kids TV,http://?id=KidsTV
Boomerang,http://?id=Boomerang
Disney Taiwan,http://?id=disneytwn_twn
Momo TV,http://?id=momo1_twn
Animax,http://?id=Animax
靖天卡通台,http://?id=jingtiancartoon_twn
Boomerang Taiwan,http://?id=boomerang_twn
Baby TV,http://?id=babytv_twn
MiaoMi,http://?id=MiaoMi
東森幼幼 Yoyo TV,http://?id=yoyo_twn
Cartoon Network,http://?id=Cn
Nickelodeon,http://?id=Nickelodeon
Nick Jr,http://?id=Nickjr

紀錄頻道,#genre#
Natgeo_HD,http://?id=natgeohd_twn
NatGeo_Wild HD,http://?id=natgeowild_twn
Animal_Planet,http://?id=animalplanet_twn
Discovery Turbo,http://?id=discoveryturbo_twn
Discovery_Science,http://?id=discoverysc_twn
Discovery Asia,http://?id=discoverytwn_twn
CI,http://?id=ci_twn
Asia Travel,http://?id=asiatravel_twn
Discovery HD,http://?id=discoveryhd_twn
亞洲美食,http://?id=afc_twn
美食星球,http://?id=foodplanet_twn
亞洲旅遊 TLC Asia,http://?id=tlc_twn
NatGeo HD,http://?id=Natgeo
Fashion TV,http://?id=fashiontv_twn
History,http://?id=History
BBC Earth HD,http://?id=bbcearth_twn
BBC Earth Lifestyle,http://?id=bbclifestyle_twn
MTV Live,http://?id=mtvhd_twn
NatGeo Wild HD,http://?id=Natgeowild
Animal Planet (Eng),http://?id=AnimalPlanet
TLC,http://?id=Tlc
AFC 亞洲旅遊台,http://?id=asiatravel_twn
Foodnetwork Hd,http://?id=Foodnetwork_mega
HGTV,http://?id=HGTV

日本,#genre#
NHK-総合-2,http://?id=nhkg_japan
NHK-E,http://?id=nhke_japan
テレビ朝日 Asahi TV,http://?id=asahitv_japan
JET 綜合,http://?id=jettv_japan
テレビ東京 Tokyo TV,http://?id=tokyotv_japan
TOKYOMX,http://?id=tokyomx_japan
NHKBS1,http://?id=nhkbs1_japan
NHKBSプレミア Premium,http://?id=nhkpremium_japan
BSジャパン 181,http://?id=bs181_japan
BSフジ BS Fuji,http://?id=bsfuji_japan
CNA Japan,http://?id=cna_japan
BS-TBS,http://?id=bstbs_japan
NHK Oaska,http://?id=nhkosaka_japan
NHK World,http://?id=nhkworld_japan
BBC 1,http://?id=bbc1_antik
BBC 2,http://?id=bbc2_antik
CBBC,http://?id=cbbc_antik
More4,http://?id=more4_antik
Freesports,http://?id=freesports_antik
Skynews,http://?id=skynews_antik
Pick TV,http://?id=picktv_antik
itv 1,http://?id=itv1_antik
itv 2,http://?id=itv2_antik
Euronews,http://?id=euronews_antik
Channel 4,http://?id=channel4_antik
NatGeo HD,http://?id=Natgeo
CBeebies,http://?id=Cbeebies
History,http://?id=History
Kids TV,http://?id=KidsTV
France 24,http://?id=france24_twn
DW (Deutsch),http://?id=dw_twn
Boomerang,http://?id=Boomerang
BBC Earth HD,http://?id=bbcearth_twn
BBC Earth Lifestyle,http://?id=bbclifestyle_twn
MTV Live,http://?id=mtvhd_twn
Star Movies HD,http://?id=starmovies_raj
NHK World,http://?id=nhkworld_japan
HBO Hits HD,http://?id=Hbohits
HBO HD,http://?id=Hbo
NatGeo Wild HD,http://?id=Natgeowild
Warner TV,http://?id=WarnerTV
Nickelodeon,http://?id=Nickelodeon
Nick Jr,http://?id=Nickjr

韓國,#genre#
Arirang HD,http://?id=arirang_korea
Yonhap News,http://?id=yonhapnews_korea
CBS,http://?id=cbs_korea
EBS 1,http://?id=ebs1_korea
EBS2,http://?id=ebs2_korea
EBS Plus2,http://?id=ebsplus2_korea
SBS Plus,http://?id=sbsplus_korea
YTN,http://?id=ytn_korea
KBS World 24,http://?id=kbsworld24_korea
YTN Science,http://?id=ytnscience_korea
YTN Korean,http://?id=ytnkorean_korea
YTN DMB,http://?id=ytndmb_korea
Apps TV,http://?id=appongoogle_korea
Thrill,http://?id=Thrill
CGTN,http://?id=CGTN

馬來西亞,#genre#
TV1,http://?id=TV1
TV1 backup,http://?id=TV1_backup
TV2,http://?id=TV2
TV3,http://?id=TV3
TV3 backup,http://?id=TV3_mega
NTV7,http://?id=NTV7
TV8,http://?id=TV8
TV9,http://?id=TV9
Warna,http://?id=Warna-O
Warna backup 2,http://?id=Warna
RIA,http://?id=Ria-O
Ria backup,http://?id=Ria
Ria backup 2,http://?id=Ria_backup
Ria backup3,http://?id=Ria_backup2
Al-Hijrah,http://?id=Alhijrah
Al-Hijrah backup,http://?id=Alhijrah_backup
Awani,http://?id=Awani
Bernama,http://?id=Bernama
Prima,http://?id=Prima_xue
Prima backup,http://?id=Prima1_xue
Ceria,http://?id=Ceria
Mecca Live HD,http://?id=quran_mido
Madinah HD,http://?id=sunnah
HBO Hits HD,http://?id=Hbohits
HBO HD,http://?id=Hbo
HBO Signature,http://?id=Hbosignature
NatGeo Wild HD,http://?id=Natgeowild
Cartoon Network,http://?id=Cn
Nickelodeon,http://?id=Nickelodeon
Nick Jr,http://?id=Nickjr
Citra,http://?id=Citra_xue
Rania,http://?id=Rania
Boo,http://?id=Boo
Sensasi,http://?id=Sensasi
Awesome TV,http://?id=Dsangat
Sony HD,http://?id=SetOne
KBS World,http://?id=KBS
TvN TV,http://?id=TVN
Astro Premier,http://?id=Astropremier
AEC,http://?id=AEC
華麗台 HD （Wah Lai Toi）,http://?id=Wlt
歡喜台 HD （Hua Hee Tai）,http://?id=Huahee
歡喜台 backup,http://?id=Huahee_backup
Astro QJ,http://?id=Quanjia
TVB Magic,http://?id=Tvbmagic
TVB Jade,http://?id=Tvbjade
TVB Asia,http://?id=Tvbasia
TVB Entertainment,http://?id=Tvbentertainment
TVB Classic,http://?id=Tvbclassic
AOD,http://?id=AodHD
One,http://?id=One_mega
Arena,http://?id=Arena
Arena 2,http://?id=Arena2
TVB 星河台  Xing He,http://?id=Xinhe
愛奇藝 iQiyi,http://?id=Qiyi
Animal Planet (Eng),http://?id=AnimalPlanet
tvN Movie,http://?id=Tvnmovie
CNN backup,http://?id=cnn_twn
Celestial Classic,http://?id=Celestial2
CNBC,http://?id=cnbc_twn
TLC,http://?id=Tlc
CNA,http://?id=cna
AFC 亞洲旅遊台,http://?id=asiatravel_twn
RTM Sports HD,http://?id=Rtmsport
BolaArena 1,http://?id=Bolaarena1
BBC World News,http://?id=bbcnews_twn
Foodnetwork Hd,http://?id=Foodnetwork_mega
HGTV,http://?id=HGTV
Goshop,http://?id=Goshop
Celestial Movies HD,http://?id=Celestial_mega
Axn HD,http://?id=Axn
Paramount Network,http://?id=Paramountnetwork
Astrol Kplus,http://?id=Kplus
Rock Actions,http://?id=Rockaction
Bloomberg News,http://?id=bloomberg_twn
Al-Jazeera,http://?id=aljazeera_twn
Rock Entertainment,http://?id=Rockentertain
Asian Games 1HD,http://?id=Asiangame1
Asian Games 2HD,http://?id=Asiangame2
Asian Games 3HD,http://?id=Asiangame3

新加坡,#genre#
Channel 5,http://?id=Channel5HD
Ch 5 backup,http://?id=Ch5_mega
Channel 8,http://?id=Channel8HD
Channel 8 backup,http://?id=Ch8_mega
Suria,http://?id=Suria
Suria SD,http://?id=Suriah264
Suria backup,http://?id=Suria_mega
Channel U,http://?id=ChannelU
Ch U backup,http://?id=ChU_mega
Thrill,http://?id=Thrill
Fight Sports,http://?id=Fs
Beinsports 2 HD,http://?id=Bein2hd
One,http://?id=One_mega
Hits Movie,http://?id=Hitsmovie
tvN Movie,http://?id=Tvnmovie
Celestial Movies HD,http://?id=Celestialindo
Vasantham,http://?id=Vasantham
Vasantham backup,http://?id=Vasantham_mega
CNA backup,http://?id=cna_mega
CNA,http://?id=cna
Asian Games 1HD,http://?id=Asiangame1
Asian Games 2HD,http://?id=Asiangame2
Asian Games 3HD,http://?id=Asiangame3

印尼,#genre#
TVRI National,http://?id=TVRI
RCTI,http://?id=Rcti
Kompass TV,http://?id=Kompass
Berita Satu,http://?id=BeritaSatu_eko
Indosiar HD,http://?id=Indosiar
AnTV,http://?id=Antv
TV9 Indonesia,http://?id=TV9_eko
MNC TV,http://?id=Mnctv
Trans 7,http://?id=Trans7_eko
Transtv,http://?id=Transtv
JTV,http://?id=JTV_eko
Metro TV,http://?id=metrotv_eko
Cinemax,http://?id=Cinemax
SCTV,http://?id=SCTV
Tvone,http://?id=Tvone
TVMU,http://?id=TVMU_eko
GTV,http://?id=Gtv
RTV,http://?id=Rtv
Jak TV,http://?id=JakTV
iNews TV,http://?id=Inewstv
Daai TV,http://?id=DaaiTV
Net TV,http://?id=NetTV
Animax,http://?id=Animax
EWTN,http://?id=Ewtn
AlQuran AlKareem,http://?id=AlQuran
Tawaf TV,http://?id=TawafTV
Vision Prime,http://?id=VisionPrime
Muslim TV,http://?id=MuslimTV
Music TV,http://?id=MusicTV
Lifestyle&amp;Fashion,http://?id=Lifestyle
Entertain,http://?id=Entertain
Hits,http://?id=Hits
Warner TV,http://?id=WarnerTV
SCM,http://?id=Weishimovie
Thrill,http://?id=Thrill
One,http://?id=One_mega
Hits Movie,http://?id=Hitsmovie
tvN Movie,http://?id=Tvnmovie
Celestial Classic,http://?id=Celestial2
Sony Pix HD,http://?id=sonypix_mega
Celestial Movies HD,http://?id=Celestialindo
Axn HD,http://?id=Axn
Paramount Network,http://?id=Paramountnetwork
Astrol Kplus,http://?id=Kplus
Rock Actions,http://?id=Rockaction
Rock Entertainment,http://?id=Rockentertain
Rock Actions,http://?id=Rockaction
Rock Entertainment,http://?id=Rockentertain

泰國,#genre#
Channel 3 Thailand,http://?id=ch3_pat
Channel 5 Thailand,http://?id=ch5_pat
Channel 7 Thailand,http://?id=ch7_pat
MCOT HD Thailand-1,http://?id=mcot_pat
PPTV Thailand1,http://?id=pptv_pat
Thai Thai,http://?id=thaithai_pat
Amarin,http://?id=amarin_pat
Ch 8,http://?id=ch8_pat
GmmOne,http://?id=gmmone_pat
Mono,http://?id=mono_pat
Thairath,http://?id=thairath_pat
tpbs,http://?id=tpbs_pat
Workpoint,http://?id=workpoint_pat
Gmm Channel,http://?id=gmmchannel_pat
Nation,http://?id=nation_pat
Tnn24,http://?id=tnn24_pat
Nbt,http://?id=nbt_pat
New,http://?id=new_pat
TPTV,http://?id=tptv_pat

印度,#genre#
Sun TV HD,http://?id=Suntv
Star Vijay,http://?id=Starvijay
Colors Tamil,http://?id=Colorstam_mega
Sun Music,http://?id=Sunmusic
Zee Tamil,http://?id=Zeetamil
Zee Business,http://?id=Zeebusiness
News 18 Tamil,http://?id=news18tamil_raj
Adithya,http://?id=Adithya
Thanthi TV,http://?id=thanthitv
Makkal TV,http://?id=Makkaltv
Zee Action,http://?id=Zeeaction
KTV UK,http://?id=ktvuk_tamil
Zee TV HD,http://?id=Zeetvhd
Zee Cinema HD,http://?id=Zeecinemahd
Color HD,http://?id=Colorhd
Picture HD,http://?id=Npicture
Zee News,http://?id=Zeenews
Asianet,http://?id=asianet_raj
Asianet News,http://?id=asianetnews_raj
Times Now,http://?id=timesnow_raj
BBC Earth Tamil,http://?id=bbcearthtam_raj
Discovery World Tamil,http://?id=discoveryworldtam_raj
History Tamil,http://?id=historytam_raj
NatGeo Tamil,http://?id=natgeotamil_raj
Natgeo Wild Tamil,http://?id=natgeowildtamil_raj
Cartoon Network Tamil,http://?id=cntamil_raj
Discovery Kids Tamil,http://?id=discoverykidtamil_raj
Discovery Tamil,http://?id=discoverytamil_raj
Sony Yay Tamil,http://?id=sonyyaytam_raj
Vijay Super,http://?id=vijaysuper_raj
Sun TV India,http://?id=suntv_raj
Star Vijay India,http://?id=starvijay_raj
Starmaa HD,http://?id=starmaa_raj
Starmaa Movies HD,http://?id=starmaamovies_raj
Bollyone,http://?id=Bollyone
Astro Sunmusic,http://?id=Sunmusic
Sony Pix HD,http://?id=sonypix_mega

越南,#genre#
Skysports Arena,http://?id=tiankongarena
Skysports F1,http://?id=tiankongf1
Skysports Cricket,http://?id=tiankongcricket
Skysports EPL,http://?id=tiankongepl
Skysports Football,http://?id=appongoogle_korea
All the Kpop,http://?id=allthekpop_korea
J the Kpop,http://?id=jthekpop_korea
EBS Kids,http://?id=ebskids_korea
CGNTV,http://?id=cgntv_korea
Skysports Golf,http://?id=tiankonggolf
Skysports Main Event,http://?id=tiankongmain
Skysports News,http://?id=tiankongnews
Hits Movie,http://?id=Hitsmovie
Animal Planet (Eng),http://?id=AnimalPlanet
CNBC,http://?id=cnbc_twn
TLC,http://?id=Tlc
BBC World News,http://?id=bbcworldnews_antik
HGTV,http://?id=HGTV
Axn HD,http://?id=Axn
Bloomberg News,http://?id=bloomberg_twn
Al-Jazeera,http://?id=aljazeera_twn
